word,translation,definition,example_usage
squelch,静噪,"To stop or suppress something, especially an idea or sound, often in a forceful or decisive way.; A wet, squishy sound made by something soft or damp, like walking in mud or a puddle.","He squelched through the mud, his boots sucking with each step.
"
squinch,斜视,"To squint or narrow one's eyes, often due to bright light or to focus on something.","He tried to **squinch** his eyes shut against the bright flash of lightning.
"
squire,乡绅,"A man who escorts or attends to a woman, especially in a social context.","The young squire served his lord faithfully, polishing his armor and tending his horses.
"
squirm,蠕动,"To twist and turn your body from side to side, usually because of discomfort, nervousness, or embarrassment.
","The child squirmed in his seat, unable to sit still during the long sermon.
"
squishy,糊状的,"Soft and yielding to pressure.
","The overripe mango felt squishy in my hand.
"
stabbed-up fawn,被刺伤的小鹿,"A young deer that has been repeatedly wounded by piercing objects.
","The hunter found a sadly stabbed-up fawn, its small body riddled with arrows, lying near the stream.
"
staid,稳重,"(of a person or place) sedate, respectable, and unadventurous","The staid professor rarely deviated from his meticulously planned lectures.
"
stalemate,僵持,"A situation where neither side is able to make progress, resulting in a standstill.
","Negotiations reached a stalemate; neither side was willing to compromise.
"
stalwart,坚定的,"someone who is loyal, reliable, and hardworking, or something that is strong and sturdy","The stalwart knight defended the kingdom against the dragon.
"
stamina,耐力,"The ability to sustain prolonged physical or mental effort without becoming overly tired.
","The marathon runner's incredible stamina allowed her to finish the race despite the intense heat.
"
stanch,止住血,"stop or slow the flow of something, especially blood or other fluids","The doctor worked quickly to stanch the bleeding from the wound.
"
stardom,明星,"The state of being a famous and celebrated performer, especially in the entertainment industry.
","Despite years of hard work, she never quite achieved the stardom she craved.
"
stardust,星尘,"The fine dust of matter from stars, found in space or incorporated into planets and other celestial bodies.
","Legends say the baby's eyes held the light of stardust.
"
stasis,停滞,"A state of inactivity or equilibrium, especially where little or no progress is possible.
","After years of conflict, the warring factions finally reached a fragile stasis.
"
state decreed,国家法令,"A legally enforced rule or command issued by an authority.
","The state decreed a mandatory mask mandate for all indoor public spaces.
"
statutory,法定的,"It refers to something created, established, or regulated by a law or statute.
","The company faced a **statutory** requirement to report its annual earnings to the government.
"
staunch,坚定,steadfast or loyal. It's often used to describe someone who is firmly committed to a particular belief or cause.,"He was a staunch supporter of the local football team, never missing a game.
"
staunchly,坚定地,"With unwavering loyalty and firmness.
","Despite the criticism, she staunchly defended her controversial opinion.
"
stave off,避开,to prevent something bad from happening or to delay it for a while. It's like warding off a threat or postponing an unpleasant event.,"She staved off a migraine by taking ibuprofen as soon as she felt the first symptoms.
"
stay abreast of,跟上,keep up with the latest developments or information about a particular subject or situation. It implies a continuous effort to remain informed and up-to-date.,"To stay competitive in her field, the software engineer had to stay abreast of the latest advancements in artificial intelligence.
"
steely,钢铁般的,"Having a very hard, strong, and often cold or unfeeling quality; resembling steel in firmness or implacability.
","Her steely gaze never wavered as she delivered the bad news.
"
steeple,尖顶,"a tall, pointed structure on a church or building, often with a spire at the top.","The village was dominated by a tall, grey steeple rising above the church.
"
stench,恶臭,"A foul and extremely unpleasant smell.
","The stench of rotting fish filled the air.
"
sternum,胸骨,"The flat bone that forms the middle portion of the anterior chest wall.
","The surgeon carefully examined the patient's fractured sternum.
"
stifle,窒息,"To suppress or restrain something, often forcibly or by preventing its expression or development.
","The dictator used brutal force to stifle any dissent.
"
stilettos,高跟鞋,"High-heeled shoes with a very thin, pointed heel.
","She walked confidently into the room, her stilettos clicking on the polished floor.
"
stillborn,死胎,"Born dead.
","The baby was stillborn, a devastating loss for the parents.
"
stilted,呆板的,"awkward, unnatural, or overly formal, often used to describe speech, writing, or behavior.","Her attempt at casual conversation felt stilted, as if she were reciting lines from a play.
"
stimmy,刺激,"short for ""stimulus check,"" referring to a government-issued payment to support individuals during times of economic hardship.","The government sent out a stimmy check to help families during the pandemic.
"
stinger,刺,A comment or action that causes sharp emotional pain or embarrassment,"The bee's stinger left a painful welt on my arm.
"
stint,限制,"A period of time spent doing something.  It can also refer to limiting or restricting something, such as a supply of something or an amount of work.
","After a long stint working overseas, she was happy to be home.
"
stipend,助学金,"A fixed regular payment, especially a salary paid to a clergy member or a small sum paid regularly to someone, especially a student.
","The graduate assistant received a monthly stipend of $500.
"
stipulate,规定,"To specify or lay down as a condition or requirement.
","The contract stipulated that payment was due within 30 days.
"
stirup,镫,"refers to a loop or ring attached to a saddle, used to support a rider's foot while mounting or riding a horse","The jockey adjusted his stirrup before mounting the horse.
"
stitious,,"""I'm not superstitious, just a little stitious,"" as a playful way of admitting to mild or quirky beliefs or habits.","The old sailor, despite his years of experience, was stitious about sailing on Friday the 13th.
"
stockout,脱销,"A complete depletion of inventory;  when a product is unavailable for purchase because there's none left in stock.
","The bakery experienced a stockout of croissants due to unexpectedly high demand.
"
